ESTUDIANTE,PERIODO,PROMEDIO_GENERAL,PEOR_PROMEDIO,ASISTENCIA_PROMEDIO,MAX_INTENTOS,MATERIAS_REPROBADAS,TOTAL_MATERIAS,TASA_REPROBACION,PUNTOS_DESERTOR,CATEGORIA
Estudiante 371,2025 - 2026 CI,9.63,9.22,100.00,1,0,7,0.00,0,BAJO
Estudiante 372,2025 - 2026 CI,9.47,8.88,98.00,1,0,7,0.00,0,BAJO
Estudiante 373,2025 - 2026 CI,9.35,7.67,99.57,1,0,7,0.00,0,BAJO
Estudiante 374,2025 - 2026 CI,8.48,7.02,99.14,1,0,7,0.00,0,BAJO
Estudiante 375,2025 - 2026 CI,8.39,7.00,87.29,1,0,7,0.00,0,BAJO
Estudiante 376,2025 - 2026 CI,9.01,7.88,99.57,1,0,7,0.00,0,BAJO
Estudiante 377,2025 - 2026 CI,8.99,7.90,99.57,1,0,7,0.00,0,BAJO
Estudiante 378,2025 - 2026 CI,8.60,7.00,98.57,1,0,7,0.00,0,BAJO
Estudiante 379,2025 - 2026 CI,8.69,7.17,99.14,1,0,7,0.00,0,BAJO
Estudiante 380,2025 - 2026 CI,9.03,7.15,100.00,1,0,7,0.00,0,BAJO
Estudiante 381,2025 - 2026 CI,7.55,4.08,96.83,1,1,6,0.17,0,BAJO
Estudiante 382,2025 - 2026 CI,8.62,7.62,97.29,2,0,7,0.00,0,ALTO
Estudiante 383,2025 - 2026 CI,8.55,7.01,98.29,1,0,7,0.00,0,BAJO
Estudiante 384,2025 - 2026 CI,7.77,7.01,91.86,1,0,7,0.00,0,BAJO
Estudiante 385,2025 - 2026 CI,8.47,7.28,97.43,1,0,7,0.00,0,BAJO
Estudiante 386,2025 - 2026 CI,5.96,2.14,70.29,1,5,7,0.71,0,ALTO
Estudiante 387,2025 - 2026 CI,9.03,7.01,99.43,1,0,7,0.00,0,BAJO
Estudiante 388,2025 - 2026 CI,0.00,0.00,0.00,1,7,7,1.00,3,DESERTOR
Estudiante 389,2025 - 2026 CI,9.15,7.18,96.00,1,0,7,0.00,0,BAJO
Estudiante 390,2025 - 2026 CI,9.41,8.53,99.57,1,0,7,0.00,0,BAJO
Estudiante 391,2025 - 2026 CI,8.67,7.75,92.57,1,0,7,0.00,0,BAJO
Estudiante 392,2025 - 2026 CI,9.30,7.88,95.43,1,0,7,0.00,0,BAJO
Estudiante 393,2025 - 2026 CI,0.15,0.00,8.57,1,7,7,1.00,3,DESERTOR
Estudiante 394,2025 - 2026 CI,8.42,5.45,86.83,1,1,6,0.17,0,BAJO
Estudiante 395,2025 - 2026 CI,8.63,5.48,96.57,1,1,7,0.14,0,BAJO
Estudiante 396,2025 - 2026 CI,9.13,7.00,93.86,1,0,7,0.00,0,BAJO
Estudiante 397,2025 - 2026 CI,9.53,8.70,99.14,1,0,7,0.00,0,BAJO
Estudiante 398,2025 - 2026 CI,8.50,7.04,94.71,1,0,7,0.00,0,BAJO
Estudiante 399,2025 - 2026 CI,6.16,4.17,85.71,1,5,7,0.71,0,ALTO
Estudiante 400,2025 - 2026 CI,8.22,7.38,95.14,1,0,7,0.00,0,BAJO
Estudiante 401,2025 - 2026 CI,0.00,0.00,10.71,1,7,7,1.00,3,DESERTOR
Estudiante 402,2025 - 2026 CI,8.63,7.00,96.43,1,0,7,0.00,0,BAJO
Estudiante 403,2025 - 2026 CI,7.83,7.01,92.14,1,0,7,0.00,0,BAJO
Estudiante 404,2025 - 2026 CI,9.13,7.18,99.57,1,0,7,0.00,0,BAJO
Estudiante 405,2025 - 2026 CI,0.95,0.00,5.71,1,7,7,1.00,3,DESERTOR
Estudiante 406,2025 - 2026 CI,8.39,5.44,96.14,1,1,7,0.14,0,BAJO
